
[High ITM Premium Options List]
Symbol,Expiry,Benefit,Strength,Rank,LTP,Intrinsic,Trading,Risk,IV,NWE%,Support%,RSI,Volatility%,Strike,Bid,Min%,Max%,Details
DLR,4,2.42,F,284,184.2,64.88,AVOID,MODERATE,LOW,174.44 => 5.3,146.23 => 20.61,44.09,2.6,75,127,9.66,69,(Stock Name: Digital Realty Trust, Inc.; Sector: Real Estate; Strength: F - Large Cap / Blue-chip ; Intrinsic: 64.88; Revenue: 631.0cr; Net Profit: 134.0cr; Recommended: buy; Projected High: 250.0; Projected Medium: 220.0; Projected Low: 180.0; All time high: 208.14 => 12.0%; SMA 200: 173.97 => 5.55%; RSI: 44.09; Day Volatility: 2.6; Week Volatility: 4.66; Month Volatility: 9.81; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 146.23 => 20.61%; Week Support: 146.23 => 20.61%; Month Support: 129.95 => 29.45%; Day NWE: 174.44 => 5.3%; Week NWE: 165.46 => 10.17%; Month NWE: 146.23 => 20.61%)
CPSH,4,2.04,S,4577,7.86,1.36,GOOD,MODERATE,HIGH,6.09 => 22.5,0.0 => 100,53.96,20.19,7.5,1,8.14,13,(Stock Name: CPS Technologies Corp.; Sector: Technology; Strength: S - Speculation (high risk, hype, biotech, commodity plays); Intrinsic: 1.36; Revenue: 3.0cr; Net Profit: 0.0cr; Recommended: none; Projected High: 5.5; Projected Medium: 5.5; Projected Low: 5.5; All time high: 30.0 => 74.0%; SMA 200: 4.39 => 44.18%; RSI: 53.96; Day Volatility: 20.19; Week Volatility: 39.22; Month Volatility: 44.77; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 1.27 => 83.84%; Month Support: 1.27 => 83.84%; Day NWE: 6.09 => 22.5%; Week NWE: 4.4 => 44.06%; Month NWE: 2.05 => 73.86%)
POET,4,1.76,M,2134,12.53,1.39,AVOID,HIGH-RISK,HIGH,9.4 => 24.97,3.87 => 69.11,50.56,14.75,12.5,0.91,7.02,7.000000000000001,(Stock Name: POET Technologies Inc.; Sector: Technology; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 1.39; Revenue: 0.0cr; Net Profit: -8.0cr; Recommended: strong_buy; Projected High: 17.5; Projected Medium: 17.5; Projected Low: 17.5; All time high: 26.1 => 52.0%; SMA 200: 7.41 => 40.84%; RSI: 50.56; Day Volatility: 14.75; Week Volatility: 39.17; Month Volatility: 47.5; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 3.87 => 69.11%; Week Support: 3.87 => 69.11%; Month Support: 0.72 => 94.25%; Day NWE: 9.4 => 24.97%; Week NWE: 8.01 => 36.04%; Month NWE: 4.12 => 67.08%)
AXTI,4,1.7,S,1276,97.18,5.09,AVOID,HIGH-RISK,HIGH,72.81 => 25.08,1.13 => 98.84,48.68,13.66,97,6.8,6.81,7.000000000000001,(Stock Name: AXT Inc; Sector: Technology; Strength: S - High risk / news-driven / retail hype / biotech-heavy; Intrinsic: 5.09; Revenue: 10.0cr; Net Profit: -1.0cr; Recommended: buy; Projected High: 125.0; Projected Medium: 94.0; Projected Low: 73.0; All time high: 143.16 => 32.0%; SMA 200: 37.06 => 61.86%; RSI: 48.68; Day Volatility: 13.66; Week Volatility: 35.39; Month Volatility: 36.24; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 1.13 => 98.84%; Week Support: 1.13 => 98.84%; Month Support: 1.13 => 98.84%; Day NWE: 72.81 => 25.08%; Week NWE: 73.11 => 24.77%; Month NWE: 28.42 => 70.76%)
AEHR,4,1.64,S,1767,108.47,4.48,AVOID,HIGH-RISK,HIGH,80.93 => 25.39,6.27 => 94.22,57.4,13.25,108,7.6,6.57,7.000000000000001,(Stock Name: Aehr Test Systems; Sector: Technology; Strength: S - High risk / news-driven / retail hype / biotech-heavy; Intrinsic: 4.48; Revenue: 5.0cr; Net Profit: -1.0cr; Recommended: strong_buy; Projected High: 68.0; Projected Medium: 67.0; Projected Low: 56.0; All time high: 121.8 => 11.0%; SMA 200: 43.49 => 59.9%; RSI: 57.4; Day Volatility: 13.25; Week Volatility: 21.43; Month Volatility: 25.68; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 6.27 => 94.22%; Week Support: 6.27 => 94.22%; Month Support: 6.27 => 94.22%; Day NWE: 80.93 => 25.39%; Week NWE: 64.96 => 40.11%; Month NWE: 28.03 => 74.15%)
ASTS,4,1.62,S,566,82.41,6.97,AVOID,HIGH-RISK,HIGH,74.93 => 9.07,17.5 => 78.76,43.24,13.73,82,5.75,6.48,7.000000000000001,(Stock Name: AST SpaceMobile, Inc.; Sector: Technology; Strength: S - High risk / news-driven / retail hype / biotech-heavy; Intrinsic: 6.97; Revenue: 8.0cr; Net Profit: -49.0cr; Recommended: hold; Projected High: 108.0; Projected Medium: 80.0; Projected Low: 41.2; All time high: 133.86 => 38.0%; SMA 200: 79.75 => 3.23%; RSI: 43.24; Day Volatility: 13.73; Week Volatility: 24.82; Month Volatility: 55.48; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 17.5 => 78.76%; Week Support: 17.5 => 78.76%; Month Support: 1.97 => 97.61%; Day NWE: 74.93 => 9.07%; Week NWE: 66.61 => 19.17%; Month NWE: 0.0 => 100.0%)
TE,4,1.62,M,2064,8.5,0.85,AVOID,HIGH-RISK,HIGH,6.95 => 18.26,0.92 => 89.18,50.16,16.16,8.5,0.55,6.47,6,(Stock Name: T1 Energy Inc.; Sector: Industrials; Strength: M - Mixed (both fundamentals + momentum/news driven); Intrinsic: 0.85; Revenue: 88.0cr; Net Profit: -32.0cr; Recommended: strong_buy; Projected High: 16.0; Projected Medium: 9.25; Projected Low: 8.0; All time high: 16.94 => 50.0%; SMA 200: 5.59 => 34.29%; RSI: 50.16; Day Volatility: 16.16; Week Volatility: 26.39; Month Volatility: 48.65; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.92 => 89.18%; Week Support: 0.92 => 89.18%; Month Support: 0.91 => 89.29%; Day NWE: 6.95 => 18.26%; Week NWE: 4.85 => 42.95%; Month NWE: 0.0 => 100.0%)
ASPI,4,1.53,S,2949,6.55,2.29,AVOID,HIGH-RISK,HIGH,5.26 => 19.67,0.0 => 100,51.22,11.57,6.5,0.45,6.11,7.000000000000001,(Stock Name: ASP Isotopes Inc.; Sector: Basic Materials; Strength: S - High risk / news-driven / retail hype / biotech-heavy; Intrinsic: 2.29; Revenue: 3.0cr; Net Profit: -19.0cr; Recommended: strong_buy; Projected High: 15.0; Projected Medium: 13.0; Projected Low: 11.0; All time high: 14.49 => 55.0%; SMA 200: 6.94 => -5.94%; RSI: 51.22; Day Volatility: 11.57; Week Volatility: 19.45; Month Volatility: 36.82; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.0 => 100.0%; Week Support: 1.86 => 71.6%; Month Support: 0.0 => 100.0%; Day NWE: 5.26 => 19.67%; Week NWE: 2.61 => 60.17%; Month NWE: 0.0 => 100.0%)
CGC,4,1.5,M,3537,1,1.47,AVOID,HIGH-RISK,HIGH,0.89 => 10.82,0.77 => 23,40.12,5.73,1,0.06,6,6,(Stock Name: Canopy Growth Corporation; Sector: Healthcare; Strength: M - Fundamental and Momentum Influence ; Intrinsic: 1.47; Revenue: 28.0cr; Net Profit: -33.0cr; Recommended: hold; Projected High: 1.7581663; Projected Medium: 1.7581663; Projected Low: 1.7581663; All time high: 592.5 => 100.0%; SMA 200: 1.2 => -19.71%; RSI: 40.12; Day Volatility: 5.73; Week Volatility: 11.44; Month Volatility: 41.67; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 0.77 => 23.0%; Week Support: 0.77 => 23.0%; Month Support: 0.77 => 23.0%; Day NWE: 0.89 => 10.82%; Week NWE: -0.18 => 118.37%; Month NWE: -27.4 => 2840.02%)
AAOI,4,1.47,S,812,169.05,14.01,AVOID,HIGH-RISK,HIGH,140.66 => 16.79,18.5 => 89.06,48.5,16.27,167.5,11.5,5.89,7.000000000000001,(Stock Name: Applied Optoelectronics, Inc.; Sector: Technology; Strength: S - High risk / news-driven / retail hype / biotech-heavy; Intrinsic: 14.01; Revenue: 51.0cr; Net Profit: -4.0cr; Recommended: buy; Projected High: 220.0; Projected Medium: 160.0; Projected Low: 57.5; All time high: 233.67 => 28.0%; SMA 200: 73.92 => 56.28%; RSI: 48.5; Day Volatility: 16.27; Week Volatility: 31.21; Month Volatility: 31.61; Day Trend: Downtrend; Week Trend: Downtrend; Month Trend: Downtrend; Day Support: 18.5 => 89.06%; Week Support: 18.5 => 89.06%; Month Support: 1.48 => 99.12%; Day NWE: 140.66 => 16.79%; Week NWE: 117.44 => 30.53%; Month NWE: 47.77 => 71.74%)
FRMI,4,1.44,M,1532,7.14,1.7,AVOID,HIGH-RISK,HIGH,4.37 => 38.78,0.0 => 100,60.68,10.1,7,0.55,5.74,8,
